name;email;telephone
Pavia Jachimiak;pjachimiak0@gizmodo.com;9616010578
Rem Moseley;rmoseley1@ustream.tv;2707258222
Beverlee Girardoni;bgirardoni2@ca.gov;6758087161
Reginald Blatcher;rblatcher3@mysql.com;7505086383
Basil Caudrey;bcaudrey4@chron.com;9345532586
Brander Powner;bpowner5@cbsnews.com;5238721998
Winnah Draysay;wdraysay6@biglobe.ne.jp;8734038257
Gregory Stickels;gstickels7@twitter.com;2028407458
Lamar Chesworth;lchesworth8@about.com;3701230100
Floyd Marieton;fmarieton9@home.pl;9465980205
